Date,Close
29.10.1998 kl. 16.00.00,"1085,91"
30.10.1998 kl. 16.00.00,"1098,69"
02.11.1998 kl. 16.00.00,"1111,6"
03.11.1998 kl. 16.00.00,"1110,84"
04.11.1998 kl. 16.00.00,"1118,67"
05.11.1998 kl. 16.00.00,"1133,68"
06.11.1998 kl. 16.00.00,1141
09.11.1998 kl. 16.00.00,"1130,2"
10.11.1998 kl. 16.00.00,"1128,24"
11.11.1998 kl. 16.00.00,"1120,97"
12.11.1998 kl. 16.00.00,"1118,17"
13.11.1998 kl. 16.00.00,"1125,72"
16.11.1998 kl. 16.00.00,"1135,87"
17.11.1998 kl. 16.00.00,"1139,32"
18.11.1998 kl. 16.00.00,"1144,48"
19.11.1998 kl. 16.00.00,"1152,61"
20.11.1998 kl. 16.00.00,"1163,55"
23.11.1998 kl. 16.00.00,"1188,19"
24.11.1998 kl. 16.00.00,"1182,99"
25.11.1998 kl. 16.00.00,"1186,87"
27.11.1998 kl. 16.00.00,"1192,29"
30.11.1998 kl. 16.00.00,"1163,7"
01.12.1998 kl. 16.00.00,"1175,28"
02.12.1998 kl. 16.00.00,"1171,25"
03.12.1998 kl. 16.00.00,"1150,14"
04.12.1998 kl. 16.00.00,"1176,59"
07.12.1998 kl. 16.00.00,"1187,7"
08.12.1998 kl. 16.00.00,"1181,38"
09.12.1998 kl. 16.00.00,"1183,49"
10.12.1998 kl. 16.00.00,"1165,02"
11.12.1998 kl. 16.00.00,"1166,46"
14.12.1998 kl. 16.00.00,"1141,2"
15.12.1998 kl. 16.00.00,"1162,79"
16.12.1998 kl. 16.00.00,"1161,98"
17.12.1998 kl. 16.00.00,"1179,96"
18.12.1998 kl. 16.00.00,"1188,03"
21.12.1998 kl. 16.00.00,"1202,84"
22.12.1998 kl. 16.00.00,"1203,57"
23.12.1998 kl. 16.00.00,"1228,54"
24.12.1998 kl. 16.00.00,"1226,27"
28.12.1998 kl. 16.00.00,"1225,49"
29.12.1998 kl. 16.00.00,"1241,77"
30.12.1998 kl. 16.00.00,"1231,93"
31.12.1998 kl. 16.00.00,"1229,4"
04.01.1999 kl. 16.00.00,"1228,1"
05.01.1999 kl. 16.00.00,"1244,77"
06.01.1999 kl. 16.00.00,"1272,35"
08.01.1999 kl. 16.00.00,"1275,09"
11.01.1999 kl. 16.00.00,"1263,81"
12.01.1999 kl. 16.00.00,"1239,54"
13.01.1999 kl. 16.00.00,"1234,4"
14.01.1999 kl. 16.00.00,"1212,19"
19.01.1999 kl. 16.00.00,1252
20.01.1999 kl. 16.00.00,"1271,64"
21.01.1999 kl. 16.00.00,"1235,19"
22.01.1999 kl. 16.00.00,"1225,19"
25.01.1999 kl. 16.00.00,"1233,96"
26.01.1999 kl. 16.00.00,"1252,31"
27.01.1999 kl. 16.00.00,"1243,19"
28.01.1999 kl. 16.00.00,"1265,37"
29.01.1999 kl. 16.00.00,"1279,64"
01.02.1999 kl. 16.00.00,1273
02.02.1999 kl. 16.00.00,"1261,98"
03.02.1999 kl. 16.00.00,"1272,09"
04.02.1999 kl. 16.00.00,"1248,49"
05.02.1999 kl. 16.00.00,"1239,4"
08.02.1999 kl. 16.00.00,"1243,77"
09.02.1999 kl. 16.00.00,"1216,14"
10.02.1999 kl. 16.00.00,"1223,55"
11.02.1999 kl. 16.00.00,"1254,03"
12.02.1999 kl. 16.00.00,"1230,14"
16.02.1999 kl. 16.00.00,"1241,86"
17.02.1999 kl. 16.00.00,"1224,05"
18.02.1999 kl. 16.00.00,"1237,28"
19.02.1999 kl. 16.00.00,"1239,16"
22.02.1999 kl. 16.00.00,"1272,22"
23.02.1999 kl. 16.00.00,"1271,18"
24.02.1999 kl. 16.00.00,"1253,41"
25.02.1999 kl. 16.00.00,"1245,02"
26.02.1999 kl. 16.00.00,"1238,33"
01.03.1999 kl. 16.00.00,"1236,16"
02.03.1999 kl. 16.00.00,"1225,52"
03.03.1999 kl. 16.00.00,"1227,7"
04.03.1999 kl. 16.00.00,"1246,66"
05.03.1999 kl. 16.00.00,"1275,46"
08.03.1999 kl. 16.00.00,"1282,73"
09.03.1999 kl. 16.00.00,"1279,84"
10.03.1999 kl. 16.00.00,"1286,84"
11.03.1999 kl. 16.00.00,"1297,68"
12.03.1999 kl. 16.00.00,"1294,59"
15.03.1999 kl. 16.00.00,"1307,26"
16.03.1999 kl. 16.00.00,"1306,36"
17.03.1999 kl. 16.00.00,"1297,82"
18.03.1999 kl. 16.00.00,"1316,55"
19.03.1999 kl. 16.00.00,"1299,29"
22.03.1999 kl. 16.00.00,"1297,01"
23.03.1999 kl. 16.00.00,"1262,14"
24.03.1999 kl. 16.00.00,"1268,59"
25.03.1999 kl. 16.00.00,"1289,92"
26.03.1999 kl. 16.00.00,"1282,8"
29.03.1999 kl. 16.00.00,"1309,99"
30.03.1999 kl. 16.00.00,"1300,75"
31.03.1999 kl. 16.00.00,"1286,41"
01.04.1999 kl. 16.00.00,"1293,77"
05.04.1999 kl. 16.00.00,"1321,12"
06.04.1999 kl. 16.00.00,"1317,89"
07.04.1999 kl. 16.00.00,"1326,89"
08.04.1999 kl. 16.00.00,1344
09.04.1999 kl. 16.00.00,"1348,35"
12.04.1999 kl. 16.00.00,"1358,64"
